_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-1.00E+02,C0035126,M1,1,0,DisGeNET,35,Reperfusion Injury,,-1.00E+02,21,45,30169,300,490,103,21,1.8,142|153|154|183|240|332|572|581|595|596|627|654|682|718|728|836|841|842|847|857|891|898|959|998|1026|1103|1432|1571|1588|1636|1906|1950|1965|2026|2353|2539|2773|2919|2920|3091|3156|3162|3309|3315|3383|3458|3552|3553|3569|3576|3586|3592|3596|3627|3725|3791|4133|4314|4318|4353|4615|4780|4843|4846|5175|5243|5313|5328|5465|5468|5578|5599|5601|5644|5728|5742|5743|5970|6303|6347|6372|6401|6403|6476|6515|6647|6648|6714|6772|6774|6783|6916|7099|7124|7157|7412|7498|8654|8678|9429|9536|50507|51738,PARP1|ADRB1|ADRB2|AGT|ALOX5|BIRC5|BAD|BAX|CCND1|BCL2|BDNF|BMP6|BSG|C3|C5AR1|CASP3|CASP8|CASP9|CAT|CAV1|CCNB1|CCNE1|CD40LG|CDC42|CDKN1A|CHAT|MAPK14|CYP2E1|CYP19A1|ACE|EDN1|EGF|EIF2S1|ENO2|FOS|G6PD|GNAI3|CXCL1|CXCL2|HIF1A|HMGCR|HMOX1|HSPA5|HSPB1|ICAM1|IFNG|IL1A|IL1B|IL6|CXCL8|IL10|IL12A|IL13|CXCL10|JUN|KDR|MAP2|MMP3|MMP9|MPO|MYD88|NFE2L2|NOS2|NOS3|PECAM1|ABCB1|PKLR|PLAU|PPARA|PPARG|PRKCA|MAPK8|MAPK9|PRSS1|PTEN|PTGS1|PTGS2|RELA|SAT1|CCL2|CXCL6|SELE|SELP|SI|SLC2A3|SOD1|SOD2|SRC|STAT1|STAT3|SULT1E1|TBXAS1|TLR4|TNF|TP53|VCAM1|XDH|PDE5A|BECN1|ABCG2|PTGES|NOX4|GHRL,-96,0
1,-1.00E+02,C0011853,M1,1,0,DisGeNET,35,"Diabetes Mellitus, Experimental",,-1.00E+02,14,40,30169,522,490,122,25,2,18|43|148|153|155|183|207|231|367|462|572|581|590|596|598|627|632|836|841|842|847|857|890|891|959|1026|1234|1401|1543|1571|1588|1636|1728|1889|1906|1956|2026|2099|2475|2539|2641|2697|2908|2931|3091|3156|3162|3383|3458|3480|3481|3486|3552|3553|3558|3565|3569|3586|3643|3667|3688|3791|3938|4193|4312|4313|4318|4353|4609|4780|4792|4843|4846|4852|4914|5054|5159|5175|5243|5313|5465|5467|5468|5578|5579|5580|5594|5595|5742|5743|5970|6347|6476|6514|6515|6517|6647|6648|6696|6720|6772|6774|7040|7042|7076|7099|7124|7157|7167|7351|7412|7422|7498|8654|8678|8714|9429|9563|50507|51738|79602|653361,ABAT|ACHE|ADRA1A|ADRB1|ADRB3|AGT|AKT1|AKR1B1|AR|SERPINC1|BAD|BAX|BCHE|BCL2|BCL2L1|BDNF|BGLAP|CASP3|CASP8|CASP9|CAT|CAV1|CCNA2|CCNB1|CD40LG|CDKN1A|CCR5|CRP|CYP1A1|CYP2E1|CYP19A1|ACE|NQO1|ECE1|EDN1|EGFR|ENO2|ESR1|MTOR|G6PD|GCG|GJA1|NR3C1|GSK3A|HIF1A|HMGCR|HMOX1|ICAM1|IFNG|IGF1R|IGF2|IGFBP3|IL1A|IL1B|IL2|IL4|IL6|IL10|INSR|IRS1|ITGB1|KDR|LCT|MDM2|MMP1|MMP2|MMP9|MPO|MYC|NFE2L2|NFKBIA|NOS2|NOS3|NPY|NTRK1|SERPINE1|PDGFRB|PECAM1|ABCB1|PKLR|PPARA|PPARD|PPARG|PRKCA|PRKCB|PRKCD|MAPK1|MAPK3|PTGS1|PTGS2|RELA|CCL2|SI|SLC2A2|SLC2A3|SLC2A4|SOD1|SOD2|SPP1|SREBF1|STAT1|STAT3|TGFB1|TGFB2|TIMP1|TLR4|TNF|TP53|TPI1|UCP2|VCAM1|VEGFA|XDH|PDE5A|BECN1|ABCC3|ABCG2|H6PD|NOX4|GHRL|ADIPOR2|NCF1,-96,0
1,-1.00E+02,C4529962,M1,1,0,DisGeNET,35,Fatty Liver Disease,,-1.00E+02,12,39,30169,741,490,146,30,2.1,31|47|60|125|142|150|183|196|207|216|217|220|231|250|351|367|581|596|597|718|836|841|842|847|1026|1029|1116|1147|1234|1277|1401|1432|1499|1509|1544|1571|1576|1636|1728|1956|1965|2099|2100|2168|2194|2213|2308|2353|2475|2539|2641|2770|2908|2919|2920|2944|2946|2950|3091|3156|3162|3309|3383|3458|3552|3553|3565|3569|3576|3586|3596|3627|3630|3643|3667|3725|3791|4128|4170|4312|4313|4318|4353|4615|4780|4846|4915|4973|5028|5265|5444|5465|5467|5468|5562|5563|5579|5594|5595|5599|5743|5970|6347|6401|6476|6514|6647|6648|6696|6720|6772|6774|6783|6850|6885|7040|7056|7068|7076|7099|7124|7157|7351|7412|7422|8714|8837|8856|8972|9429|9536|9563|10468|10598|10599|10874|11186|22914|50507|51094|58487|79602|255738|338557|653361|729230,ACACA|ACLY|ACTB|ADH1B|PARP1|ADRA2A|AGT|AHR|AKT1|ALDH1A1|ALDH2|ALDH1A3|AKR1B1|ALPP|APP|AR|BAX|BCL2|BCL2A1|C3|CASP3|CASP8|CASP9|CAT|CDKN1A|CDKN2A|CHI3L1|CHUK|CCR5|COL1A1|CRP|MAPK14|CTNNB1|CTSD|CYP1A2|CYP2E1|CYP3A4|ACE|NQO1|EGFR|EIF2S1|ESR1|ESR2|FABP1|FASN|FCGR2B|FOXO1|FOS|MTOR|G6PD|GCG|GNAI1|NR3C1|CXCL1|CXCL2|GSTM1|GSTM2|GSTP1|HIF1A|HMGCR|HMOX1|HSPA5|ICAM1|IFNG|IL1A|IL1B|IL4|IL6|CXCL8|IL10|IL13|CXCL10|INS|INSR|IRS1|JUN|KDR|MAOA|MCL1|MMP1|MMP2|MMP9|MPO|MYD88|NFE2L2|NOS3|NTRK2|OLR1|P2RY1|SERPINA1|PON1|PPARA|PPARD|PPARG|PRKAA1|PRKAA2|PRKCB|MAPK1|MAPK3|MAPK8|PTGS2|RELA|CCL2|SELE|SI|SLC2A2|SOD1|SOD2|SPP1|SREBF1|STAT1|STAT3|SULT1E1|SYK|MAP3K7|TGFB1|THBD|THRB|TIMP1|TLR4|TNF|TP53|UCP2|VCAM1|VEGFA|ABCC3|CFLAR|NR1I2|MGAM|ABCG2|PTGES|H6PD|FST|AHSA1|SLCO1B1|NMU|RASSF1|KLRK1|NOX4|ADIPOR1|CREBZF|ADIPOR2|PCSK9|FFAR4|NCF1|CCR2,-96,0
1,-1.00E+02,C3887461,M1,1,0,DisGeNET,35,Head and Neck Carcinoma,,-1.00E+02,11,37,30169,786,490,143,29,2.1,9|43|60|125|142|183|207|216|217|240|331|332|367|581|595|596|598|627|672|675|682|836|841|842|860|1017|1026|1029|1033|1147|1234|1401|1432|1493|1499|1543|1545|1565|1571|1728|1889|1950|1956|2023|2052|2064|2065|2353|2475|2919|2932|2944|2946|2950|3091|3309|3315|3458|3480|3481|3553|3558|3565|3569|3576|3586|3596|3643|3667|3688|3692|3725|3727|3791|3845|4170|4193|4257|4312|4313|4314|4318|4609|4615|4780|4843|4915|5028|5054|5175|5243|5265|5292|5328|5443|5444|5594|5599|5728|5743|5879|5888|5925|6347|6403|6515|6528|6530|6532|6646|6648|6678|6696|6714|6772|6774|6817|7039|7040|7046|7099|7124|7157|7167|7422|7490|7516|8313|8648|8654|8772|8797|9429|9536|10018|10598|11082|11186|27113|29126|50484|51147|51738,NAT1|ACHE|ACTB|ADH1B|PARP1|AGT|AKT1|ALDH1A1|ALDH2|ALOX5|XIAP|BIRC5|AR|BAX|CCND1|BCL2|BCL2L1|BDNF|BRCA1|BRCA2|BSG|CASP3|CASP8|CASP9|RUNX2|CDK2|CDKN1A|CDKN2A|CDKN3|CHUK|CCR5|CRP|MAPK14|CTLA4|CTNNB1|CYP1A1|CYP1B1|CYP2D6|CYP2E1|NQO1|ECE1|EGF|EGFR|ENO1|EPHX1|ERBB2|ERBB3|FOS|MTOR|CXCL1|GSK3B|GSTM1|GSTM2|GSTP1|HIF1A|HSPA5|HSPB1|IFNG|IGF1R|IGF2|IL1B|IL2|IL4|IL6|CXCL8|IL10|IL13|INSR|IRS1|ITGB1|EIF6|JUN|JUND|KDR|KRAS|MCL1|MDM2|MGST1|MMP1|MMP2|MMP3|MMP9|MYC|MYD88|NFE2L2|NOS2|NTRK2|P2RY1|SERPINE1|PECAM1|ABCB1|SERPINA1|PIM1|PLAU|POMC|PON1|MAPK1|MAPK8|PTEN|PTGS2|RAC1|RAD51|RB1|CCL2|SELP|SLC2A3|SLC5A5|SLC6A2|SLC6A4|SOAT1|SOD2|SPARC|SPP1|SRC|STAT1|STAT3|SULT1A1|TGFA|TGFB1|TGFBR1|TLR4|TNF|TP53|TPI1|VEGFA|WT1|XRCC2|AXIN2|NCOA1|PDE5A|FADD|TNFRSF10A|ABCG2|PTGES|BCL2L11|AHSA1|ESM1|RASSF1|BBC3|CD274|RRM2B|ING4|GHRL,-96,0
1,-1.00E+02,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-1.00E+02,11,36,30169,756,490,136,28,2,31|60|125|153|154|183|196|207|217|231|332|581|595|596|627|650|718|836|847|894|959|1116|1234|1401|1431|1432|1499|1509|1565|1576|1588|1636|1906|1950|1956|2052|2064|2065|2099|2152|2308|2475|2628|2641|2643|2657|2697|2822|2920|2932|2944|2946|2950|3091|3162|3309|3315|3383|3458|3481|3486|3552|3553|3558|3565|3569|3586|3627|3630|3757|3791|3938|4314|4318|4353|4780|4792|4843|4846|4915|4973|5054|5069|5104|5130|5175|5243|5265|5292|5443|5444|5465|5468|5562|5563|5578|5579|5580|5594|5595|5728|5743|5970|6331|6347|6401|6403|6646|6648|6649|6678|6696|6772|6774|6817|7040|7042|7056|7071|7099|7124|7351|7412|7422|7442|8313|8804|9588|10062|10105|10598|10874|51738|64581|255738|729230,ACACA|ACTB|ADH1B|ADRB1|ADRB2|AGT|AHR|AKT1|ALDH2|AKR1B1|BIRC5|BAX|CCND1|BCL2|BDNF|BMP2|C3|CASP3|CAT|CCND2|CD40LG|CHI3L1|CCR5|CRP|CS|MAPK14|CTNNB1|CTSD|CYP2D6|CYP3A4|CYP19A1|ACE|EDN1|EGF|EGFR|EPHX1|ERBB2|ERBB3|ESR1|F3|FOXO1|MTOR|GATM|GCG|GCH1|GDF1|GJA1|GPLD1|CXCL2|GSK3B|GSTM1|GSTM2|GSTP1|HIF1A|HMOX1|HSPA5|HSPB1|ICAM1|IFNG|IGF2|IGFBP3|IL1A|IL1B|IL2|IL4|IL6|IL10|CXCL10|INS|KCNH2|KDR|LCT|MMP3|MMP9|MPO|NFE2L2|NFKBIA|NOS2|NOS3|NTRK2|OLR1|SERPINE1|PAPPA|SERPINA5|PCYT1A|PECAM1|ABCB1|SERPINA1|PIM1|POMC|PON1|PPARA|PPARG|PRKAA1|PRKAA2|PRKCA|PRKCB|PRKCD|MAPK1|MAPK3|PTEN|PTGS2|RELA|SCN5A|CCL2|SELE|SELP|SOAT1|SOD2|SOD3|SPARC|SPP1|STAT1|STAT3|SULT1A1|TGFB1|TGFB2|THBD|KLF10|TLR4|TNF|UCP2|VCAM1|VEGFA|TRPV1|AXIN2|CREG1|PRDX6|NR1H3|PPIF|AHSA1|NMU|GHRL|CLEC7A|PCSK9|CCR2,-96,0
1,-1.00E+02,C0278996,M1,1,0,DisGeNET,35,Malignant Head and Neck Neoplasm,,-1.00E+02,11,36,30169,767,490,138,28,2,9|43|60|125|142|183|207|216|217|240|331|332|367|581|595|596|598|627|675|682|836|841|842|860|1017|1026|1029|1033|1147|1234|1401|1432|1493|1499|1543|1545|1565|1571|1728|1889|1950|1956|2023|2052|2064|2065|2353|2475|2919|2932|2944|2946|2950|3091|3309|3315|3458|3480|3481|3553|3558|3565|3569|3576|3586|3596|3643|3667|3688|3725|3727|3791|3845|4170|4193|4312|4313|4314|4318|4609|4615|4780|4843|4915|5028|5054|5175|5243|5265|5328|5443|5444|5594|5595|5599|5728|5743|5879|5888|5925|6347|6373|6403|6528|6530|6532|6646|6648|6678|6696|6714|6772|6774|6817|7039|7040|7046|7099|7124|7157|7167|7422|7490|7516|8313|8654|8772|8797|9429|10018|10598|11082|11186|27113|29126|50484|51147|51738,NAT1|ACHE|ACTB|ADH1B|PARP1|AGT|AKT1|ALDH1A1|ALDH2|ALOX5|XIAP|BIRC5|AR|BAX|CCND1|BCL2|BCL2L1|BDNF|BRCA2|BSG|CASP3|CASP8|CASP9|RUNX2|CDK2|CDKN1A|CDKN2A|CDKN3|CHUK|CCR5|CRP|MAPK14|CTLA4|CTNNB1|CYP1A1|CYP1B1|CYP2D6|CYP2E1|NQO1|ECE1|EGF|EGFR|ENO1|EPHX1|ERBB2|ERBB3|FOS|MTOR|CXCL1|GSK3B|GSTM1|GSTM2|GSTP1|HIF1A|HSPA5|HSPB1|IFNG|IGF1R|IGF2|IL1B|IL2|IL4|IL6|CXCL8|IL10|IL13|INSR|IRS1|ITGB1|JUN|JUND|KDR|KRAS|MCL1|MDM2|MMP1|MMP2|MMP3|MMP9|MYC|MYD88|NFE2L2|NOS2|NTRK2|P2RY1|SERPINE1|PECAM1|ABCB1|SERPINA1|PLAU|POMC|PON1|MAPK1|MAPK3|MAPK8|PTEN|PTGS2|RAC1|RAD51|RB1|CCL2|CXCL11|SELP|SLC5A5|SLC6A2|SLC6A4|SOAT1|SOD2|SPARC|SPP1|SRC|STAT1|STAT3|SULT1A1|TGFA|TGFB1|TGFBR1|TLR4|TNF|TP53|TPI1|VEGFA|WT1|XRCC2|AXIN2|PDE5A|FADD|TNFRSF10A|ABCG2|BCL2L11|AHSA1|ESM1|RASSF1|BBC3|CD274|RRM2B|ING4|GHRL,-96,0
1,-98,C0856169,M1,1,0,DisGeNET,35,Endothelial dysfunction,,-98,11,35,30169,716,490,130,27,2,9|31|142|148|183|207|231|351|462|581|596|627|632|652|672|808|836|842|847|857|959|1116|1230|1234|1277|1401|1432|1499|1636|1906|1950|1956|2099|2100|2152|2194|2213|2308|2475|2539|2641|2643|3060|3091|3162|3309|3383|3458|3486|3552|3553|3569|3576|3586|3627|3630|3643|3667|3791|4128|4129|4193|4313|4318|4353|4780|4790|4843|4846|4852|4973|5028|5054|5104|5175|5241|5328|5443|5444|5467|5468|5562|5563|5578|5579|5594|5595|5599|5601|5728|5742|5743|5879|5970|6347|6372|6401|6403|6530|6646|6647|6648|6649|6696|6714|6772|7040|7046|7056|7099|7124|7157|7226|7351|7412|7422|7498|8648|8654|8678|8856|9536|10105|10598|11082|50506|50507|51094|79602|255738,NAT1|ACACA|PARP1|ADRA1A|AGT|AKT1|AKR1B1|APP|SERPINC1|BAX|BCL2|BDNF|BGLAP|BMP4|BRCA1|CALM3|CASP3|CASP9|CAT|CAV1|CD40LG|CHI3L1|CCR1|CCR5|COL1A1|CRP|MAPK14|CTNNB1|ACE|EDN1|EGF|EGFR|ESR1|ESR2|F3|FASN|FCGR2B|FOXO1|MTOR|G6PD|GCG|GCH1|HCRT|HIF1A|HMOX1|HSPA5|ICAM1|IFNG|IGFBP3|IL1A|IL1B|IL6|CXCL8|IL10|CXCL10|INS|INSR|IRS1|KDR|MAOA|MAOB|MDM2|MMP2|MMP9|MPO|NFE2L2|NFKB1|NOS2|NOS3|NPY|OLR1|P2RY1|SERPINE1|SERPINA5|PECAM1|PGR|PLAU|POMC|PON1|PPARD|PPARG|PRKAA1|PRKAA2|PRKCA|PRKCB|MAPK1|MAPK3|MAPK8|MAPK9|PTEN|PTGS1|PTGS2|RAC1|RELA|CCL2|CXCL6|SELE|SELP|SLC6A2|SOAT1|SOD1|SOD2|SOD3|SPP1|SRC|STAT1|TGFB1|TGFBR1|THBD|TLR4|TNF|TP53|TRPM2|UCP2|VCAM1|VEGFA|XDH|NCOA1|PDE5A|BECN1|NR1I2|PTGES|PPIF|AHSA1|ESM1|DUOX2|NOX4|ADIPOR1|ADIPOR2|PCSK9,-94,0
1,-97,C0740391,M1,1,0,DisGeNET,35,Middle Cerebral Artery Occlusion,,-97,12,36,30169,626,490,123,25,2,31|43|60|142|183|196|207|217|240|351|581|595|596|597|627|682|718|728|836|841|842|847|857|1021|1103|1116|1432|1499|1588|1906|1950|1956|1965|2023|2099|2100|2353|2475|2539|2596|2643|2697|2908|2919|2920|2932|3091|3162|3309|3315|3383|3458|3481|3552|3553|3558|3565|3569|3586|3627|3791|4133|4170|4313|4318|4353|4504|4780|4843|4846|4953|5054|5159|5175|5241|5243|5328|5465|5467|5468|5562|5563|5587|5594|5595|5599|5728|5743|5879|5970|6347|6403|6515|6531|6647|6648|6678|6772|6774|6885|7039|7040|7042|7046|7076|7099|7124|7157|7186|7351|7422|7442|7498|8313|8678|8837|9588|10598|22933|50507|255738|338557|729230,ACACA|ACHE|ACTB|PARP1|AGT|AHR|AKT1|ALDH2|ALOX5|APP|BAX|CCND1|BCL2|BCL2A1|BDNF|BSG|C3|C5AR1|CASP3|CASP8|CASP9|CAT|CAV1|CDK6|CHAT|CHI3L1|MAPK14|CTNNB1|CYP19A1|EDN1|EGF|EGFR|EIF2S1|ENO1|ESR1|ESR2|FOS|MTOR|G6PD|GAP43|GCH1|GJA1|NR3C1|CXCL1|CXCL2|GSK3B|HIF1A|HMOX1|HSPA5|HSPB1|ICAM1|IFNG|IGF2|IL1A|IL1B|IL2|IL4|IL6|IL10|CXCL10|KDR|MAP2|MCL1|MMP2|MMP9|MPO|MT3|NFE2L2|NOS2|NOS3|ODC1|SERPINE1|PDGFRB|PECAM1|PGR|ABCB1|PLAU|PPARA|PPARD|PPARG|PRKAA1|PRKAA2|PRKD1|MAPK1|MAPK3|MAPK8|PTEN|PTGS2|RAC1|RELA|CCL2|SELP|SLC2A3|SLC6A3|SOD1|SOD2|SPARC|STAT1|STAT3|MAP3K7|TGFA|TGFB1|TGFB2|TGFBR1|TIMP1|TLR4|TNF|TP53|TRAF2|UCP2|VEGFA|TRPV1|XDH|AXIN2|BECN1|CFLAR|PRDX6|AHSA1|SIRT2|NOX4|PCSK9|FFAR4|CCR2,-93,0
1,-95,C0155626,M1,1,0,DisGeNET,35,Acute myocardial infarction,,-95,11,34,30169,766,490,131,27,2,31|43|142|150|153|154|155|183|196|207|217|462|578|581|595|596|627|682|695|718|836|840|842|847|857|959|1029|1116|1234|1277|1401|1432|1493|1499|1565|1588|1636|1733|1906|2099|2100|2152|2475|2641|2697|2919|2920|2932|2944|2950|3091|3156|3162|3309|3383|3458|3480|3481|3552|3553|3565|3569|3576|3586|3603|3688|3725|3757|3791|4312|4313|4314|4318|4353|4615|4780|4846|4852|4973|5054|5069|5104|5175|5243|5328|5444|5468|5562|5563|5594|5595|5599|5728|5733|5743|5970|6331|6347|6403|6517|6530|6532|6646|6647|6648|6774|6783|7040|7046|7056|7076|7099|7124|7157|7299|7351|7412|7422|7442|8804|10018|10598|11082|11186|22933|27113|51094|58487|255738|653361|729230,ACACA|ACHE|PARP1|ADRA2A|ADRB1|ADRB2|ADRB3|AGT|AHR|AKT1|ALDH2|SERPINC1|BAK1|BAX|CCND1|BCL2|BDNF|BSG|BTK|C3|CASP3|CASP7|CASP9|CAT|CAV1|CD40LG|CDKN2A|CHI3L1|CCR5|COL1A1|CRP|MAPK14|CTLA4|CTNNB1|CYP2D6|CYP19A1|ACE|DIO1|EDN1|ESR1|ESR2|F3|MTOR|GCG|GJA1|CXCL1|CXCL2|GSK3B|GSTM1|GSTP1|HIF1A|HMGCR|HMOX1|HSPA5|ICAM1|IFNG|IGF1R|IGF2|IL1A|IL1B|IL4|IL6|CXCL8|IL10|IL16|ITGB1|JUN|KCNH2|KDR|MMP1|MMP2|MMP3|MMP9|MPO|MYD88|NFE2L2|NOS3|NPY|OLR1|SERPINE1|PAPPA|SERPINA5|PECAM1|ABCB1|PLAU|PON1|PPARG|PRKAA1|PRKAA2|MAPK1|MAPK3|MAPK8|PTEN|PTGER3|PTGS2|RELA|SCN5A|CCL2|SELP|SLC2A4|SLC6A2|SLC6A4|SOAT1|SOD1|SOD2|STAT3|SULT1E1|TGFB1|TGFBR1|THBD|TIMP1|TLR4|TNF|TP53|TYR|UCP2|VCAM1|VEGFA|TRPV1|CREG1|BCL2L11|AHSA1|ESM1|RASSF1|SIRT2|BBC3|ADIPOR1|CREBZF|PCSK9|NCF1|CCR2,-92,0
1,-93,C0153381,M1,1,0,DisGeNET,35,Malignant neoplasm of mouth,,-93,11,34,30169,756,490,129,26,2,60|125|142|183|196|207|216|217|231|240|332|367|595|596|599|652|682|836|840|841|842|847|857|894|941|942|959|1019|1026|1029|1116|1234|1401|1432|1493|1499|1543|1544|1545|1565|1571|1636|1950|1956|2023|2052|2064|2152|2308|2353|2475|2547|2752|2919|2944|2946|2950|3037|3091|3162|3315|3383|3458|3481|3486|3553|3558|3565|3569|3576|3586|3593|3630|3725|3727|3791|3845|4170|4193|4312|4313|4314|4318|4609|4780|4790|4792|4846|5054|5104|5223|5243|5292|5328|5465|5468|5562|5563|5578|5579|5594|5595|5599|5728|5742|5743|5970|6257|6347|6648|6696|6774|7039|7040|7046|7056|7124|7157|7167|7422|7442|7490|7516|8313|11082|11186|27113|29126|729230,ACTB|ADH1B|PARP1|AGT|AHR|AKT1|ALDH1A1|ALDH2|AKR1B1|ALOX5|BIRC5|AR|CCND1|BCL2|BCL2L2|BMP4|BSG|CASP3|CASP7|CASP8|CASP9|CAT|CAV1|CCND2|CD80|CD86|CD40LG|CDK4|CDKN1A|CDKN2A|CHI3L1|CCR5|CRP|MAPK14|CTLA4|CTNNB1|CYP1A1|CYP1A2|CYP1B1|CYP2D6|CYP2E1|ACE|EGF|EGFR|ENO1|EPHX1|ERBB2|F3|FOXO1|FOS|MTOR|XRCC6|GLUL|CXCL1|GSTM1|GSTM2|GSTP1|HAS2|HIF1A|HMOX1|HSPB1|ICAM1|IFNG|IGF2|IGFBP3|IL1B|IL2|IL4|IL6|CXCL8|IL10|IL12B|INS|JUN|JUND|KDR|KRAS|MCL1|MDM2|MMP1|MMP2|MMP3|MMP9|MYC|NFE2L2|NFKB1|NFKBIA|NOS3|SERPINE1|SERPINA5|PGAM1|ABCB1|PIM1|PLAU|PPARA|PPARG|PRKAA1|PRKAA2|PRKCA|PRKCB|MAPK1|MAPK3|MAPK8|PTEN|PTGS1|PTGS2|RELA|RXRB|CCL2|SOD2|SPP1|STAT3|TGFA|TGFB1|TGFBR1|THBD|TNF|TP53|TPI1|VEGFA|TRPV1|WT1|XRCC2|AXIN2|ESM1|RASSF1|BBC3|CD274|CCR2,-90,0
