大黄、炒牵牛子、槟榔、人参、朱砂	消食导滞，祛痰通便
黄连、大黄、黄芩	清热泻火解毒，化瘀凉血止血
醋香附、地黄、茯苓、当归、熟地黄、川芎、炒白术、白芍、益母草、艾叶（炭）、黄芩、酒萸肉、天冬、阿胶、炒酸枣仁、砂仁、醋延胡索、艾叶、粳米、盐小茴香、人参、甘草	舒肝理气，养血调经
血竭、乳香（制）、没药（制）、红花、儿茶、冰片、人工麝香、朱砂	化瘀消肿，止痛止血
三七叶总皂苷	益气安神，活血止痛
广枣、肉豆蔻、丁香、木香、枫香脂、沉香、牛心粉	养心益气，安神
榼藤子仁（炒）、毛叶巴豆茎及叶、阿魏、胡椒、蔓荆子、蔓荆子叶、黑种草子、墨旱莲	祛暑，和中，解痉止痛
白葡萄干、石膏、红花、甘草、香附、肉桂、石榴	清肺，止嗽，定喘
醋五味子、山茱萸（制）、茯苓、牡丹皮、熟地黄、山药、泽泻	补肾纳气，涩精止遗
铁屑（诃子制）、北寒水石（奶制）、藏木香、木香、甘青青蓝、红花、五灵脂膏	行气活血，平肝清热止痛
制何首乌、当归、补骨脂（黑芝麻炒）、枸杞子（酒蒸）、菟丝子（炒）、茯苓、牛膝（酒蒸）	滋补肝肾
炒僵蚕、全蝎、人工麝香、朱砂、雄黄、胆南星、天竺黄、巴豆霜、寒食曲	定惊豁痰，消积通便
胡黄连、黄连、儿茶、冰片、香墨、熊胆粉、人工麝香、牛黄、牛胆汁	清热，解毒，镇惊
牛黄、朱砂、黄连、桅子、郁金、黄芩	清热解毒，镇惊安神
穿山甲、羌活、桃仁、肉桂、大黄、制没药、玄参、马钱子、牛膝、赤芍、血余炭、红花、制乳香、苦杏仁、地黄、人工麝香、生川乌、白芷、当归、川芎、续断	活血通络，消肿止痛
苦玄参、肿节风	疏风清热，解毒消肿
三七、制草乌、雪上一枝蒿、冰片、骨碎补、红花、接骨木、赤芍	舒筋活血，散瘀止痛
三七	散瘀止血，消肿止痛
三七、重楼、制草乌、大叶紫珠、山药、黑紫藜芦、冰片	止血镇痛，祛瘀生新
三七三醇皂苷	活血化瘀，活络通脉
当归、炙黄芪、牛膝、防风	益气活血，祛风通络
三叉苦、九里香、两面针、木香、黄芩、茯苓、地黄、白芍	清热燥湿，行气活血，柔肝止痛
蒺藜、冬葵果、方海	清湿热，利尿
苍术（炒）、黄柏（炒）、牛膝	清热燥湿
诃子、川楝子、栀子	清热凉血，解毒
人参、鹿茸、当归、山药、醋龟甲、砂仁（炒）、山茱萸、灵芝、熟地黄、丹参、五味子、菟丝子（炒）、肉苁蓉、何首乌、菊花、牡丹皮、赤芍、杜仲、麦冬、泽泻、玄参	益肾填精，养心安神
麻黄、苦杏仁、甘草、生姜	宣肺解表
金樱根、菝葜、羊开口、金沙藤、积雪草	清热解毒，利湿通淋，益肾
大黄、盐酸小檗碱、黄芩浸膏	清热解毒，泻火通便
牛白藤、假蒟、地耳草、牛尾菜、鹅不食草、牛膝、乌药、红杜仲、鬼画符、山桔叶、羊耳菊、刘寄奴、过岗龙、山香、穿破石、毛两面针、鸡血藤、丢了棒、岗梅、木鳖子、丁茄根、大半边莲、独活、苍术、急性子、建栀、制川乌、丁香、香附、黑老虎根、桂枝、樟脑	消肿止痛，舒筋活络，止血生肌，活血祛瘀
酒当归、酒川芎、红花、桃仁、丹参、鸡血藤、忍冬藤、络石藤、地龙（炒）、土鳖虫（炒）、伸筋草、川牛膝、蜈蚣、炒茺蔚子、全蝎、威灵仙（酒制）、炒僵蚕、木瓜、金钱白花蛇	活血化瘀，舒筋通络
酒当归、川芎（酒制）、红花、桃仁、丹参、鸡血藤、忍冬藤、络石藤、地龙（炒）、土鳖虫（炒）、伸筋草、川牛膝、蜈蚣、炒茺蔚子、全蝎、威灵仙（酒制）、炒僵蚕、木瓜、金钱白花蛇	活血化瘀，舒筋通络
丹参、三七	活血化瘀，通脉止痛
炙黄芪、桂枝、吴茱萸、肉桂、细辛、桃仁、红花、当归、川芎、芍、丹参、牡丹皮、延胡索、片姜黄、三棱、莪术、水蛭、木香、枳壳、乌药、黄连、地黄、炙甘草	益气温胃，散寒行气，活血止痛
丹参、灯盏细辛、川芎、粉葛	活血化瘀，祛风通络
丹参、益母草、马鞭草、牛膝、黄柏、白头翁、王不留行	活血化瘀，清热利湿
丹参、当归、川芎、桃仁、红花、柴胡、枳壳	活血化瘀，行气通络
丹参、牛膝、天麻、牡丹皮、赤芍、川芎、生地黄、淫羊藿、桑寄生、梔子、决明子、火麻仁	养阴平肝，熄风通络，清热除烦
瓜蒌皮、薤白、葛根、川芎、丹参、赤芍、泽泻、黄芪、骨碎补、郁金	宽胸通阳，化痰散结，活血化瘀
丹参、川芎、桃仁、降香、三棱、莪术、枳壳、酒大黄	活血化瘀，行气通络
乌梅、大黄、佛手、枳实、牛至、栀子、甘草、槟榔、威灵仙、姜黄	疏肝解郁，利胆排石，泄热止痛
乌梅肉、花椒、细辛、黄连、黄柏、干姜、附子（制）、桂枝、人参、当归	缓肝调中，清上温下
乌灵菌粉	补肾健脑，养心安神
乌梢蛇（白酒炙）、防风、蛇床子、关黄柏、苍术（泡）、红参须、牡丹皮、蛇胆汁、苦参、人工牛黄、当归	养血祛风，燥湿止痒
海螵蛸（去壳）、浙贝母	制酸止痛，收敛止血
海螵蛸、浙贝母	制酸止痛，收敛止血
乌鸡、（去毛爪肠）鹿角胶、醋鳖甲、煅牡蛎、桑螵蛸、人参、黄芪、当归、白芍、醋香附、天冬、甘草、地黄、熟地黄、川芎、银柴胡、丹参、山药、芡实（炒）、鹿角霜	补气养血，调经止带
党参、太子参、黄芪、茯苓、山药、薏苡仁、麦冬、制何首乌、大枣、焦山楂、炒麦芽、陈皮、桑枝	益气健脾，和中开胃
丹参、川芎、赤芍、红花、香附、木香、山楂	行气活血，化瘀通脉
